Type,Label,Description,Text,If,Learn,Goto,Acc,Mode
output start,welcome,最初の挨拶,こんにちは! わたくしマイコがあなたの旅行先さがしをお手伝いさせていただきます。,,,ask_season,,
output,ask_season,時期を尋ねる,時期はいつ頃とかありますか？,,,,,
input,respond_season,時期を答える,RespondSchedule,,,ask_place,,
output,ask_place,場所を尋ねる,どの辺りに行ってみたいとかありますか？,,,,,
input,respond_small_area,地名を答える,RespondSmallArea,,,suggest,,
input,respond_middle_area,県を答える,RespondMiddleArea,,,suggest,,
input,respond_large_area,地域を答える,RespondLargeArea,,,ask_sea_or_mt,,
output,ask_sea_or_mt,海か山か尋ねる,たとえば海の方か山の方ならどちらに行きたいですか？,,,,,
input,respond_sea_or_mt,海か山か答える,RespondSeaMt,,,suggest,,
input,respond_all,時期と場所を答える,RespondAll,,,suggest,,
output,suggest,提案をする,ではこのあたりはどうでしょうか？,,,,,
